item_name,item_name_citation,category,category_citation,store_name,store_name_citation,store_location,store_location_citation,store_rating,store_rating_citation,store_review_count,store_review_count_citation,special_name,special_name_citation,special_description,special_description_citation
Morituri Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Wood-Fired Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Margherita Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Wood-Fired Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
The Pollo Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Stagionata Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Wood-Fired Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Norm's Pralina Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Wood-Fired Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Nacho Libre Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Wood-Fired Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Crema Di Gamberi Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Ortigiano Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Wood-Fired Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Smokey Babe Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Wood-Fired Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Ragu Di Manzo Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Isolano Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Wood-Fired Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Caesar Salad (VIT),https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Salads,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Cielo Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Funghi Bianco Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Pasta,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
Ragazzo Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Wood-Fired Pizza,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,Col'Cacchio GO Dainfern,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,"Shop 49, Dainfern Square, Dainfern",https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,4.3,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,3000,https://www.ubereats.com/za/store/colcacchio-go-dainfern/oVpo3Z9cSx-Di-_4XestLg,,,,
